ID,Service,Voice,Input Set,Language,Text,Text Length,Latency (s)
2107532271344083576,Eleven Labs,Arayah,formatted,pt-PT,"Ontem nos reunimos com 4 partes interessadas da Grand Island Express. Bom encontro. Eles estão noivos. Enorme potencial para melhorar a previsibilidade de entrega e economizar tempo no que atualmente exige muitos telefonemas e e-mails entre o despachante e o motorista. Conclusões:
 - O Gerente de Frota é a pessoa para quem estamos otimizando.
 - Eles têm mais a ganhar com uma solução de mensagens de voz onde podem ter conversas individuais ativas com mais de 50 motoristas em um único dia para coordenar os cronogramas de recebimento e redirecionar conforme necessário.
 - Existem algumas barreiras linguísticas que podemos resolver parcialmente com transcrições traduzidas (hoje) e totalmente com traduções audio2audio no futuro
 - Este fluxo de trabalho tem potencial direto e indireto de resultados: economia de custos em comparação com o serviço de tradução que utilizam hoje, maior previsibilidade para os clientes = melhor reputação e reservas, potencial para entregar mais rapidamente e limitar o tempo de inatividade do motorista porque eles podem prever mais prontamente os prazos de entrega e resolver implicações de recuperação judicial e backhaul",1162,15.55
1792843338318641074,Eleven Labs,Arayah,formatted,fr-FR,"Nous avons rencontré hier 4 parties prenantes de Grand Island Express. Bonne rencontre. Ils sont fiancés. Un énorme potentiel pour améliorer leur prévisibilité de livraison et leur faire gagner du temps dans ce qui nécessite actuellement de nombreux appels téléphoniques et e-mails entre le répartiteur et le chauffeur. À retenir :
 - Le gestionnaire de flotte est la personne pour laquelle nous optimisons.
 - Ce sont eux qui ont le plus à gagner d'une solution de messagerie vocale qui leur permet d'avoir des conversations actives en tête-à-tête avec plus de 50 chauffeurs en une seule journée pour coordonner les délais de réception et réacheminer si nécessaire.
 - Il existe certaines barrières linguistiques que nous pouvons résoudre partiellement avec des transcriptions traduites (aujourd'hui) et entièrement avec des traductions audio-audio à l'avenir.
 - Ce flux de travail a un potentiel de résultat direct et indirect : économies de coûts par rapport au service de traduction qu'ils utilisent aujourd'hui, plus grande prévisibilité pour les clients. = amélioration de la réputation et des réservations, possibilité de livrer plus rapidement et de limiter les temps d'arrêt des chauffeurs, car ils peuvent plus facilement prédire les délais de livraison et résoudre les implications en matière de mise sous séquestre et de transport.",1344,16.46
1792843338318641074,Eleven Labs,Arayah,formatted,fr-CA,"Nous avons rencontré hier 4 parties prenantes de Grand Island Express. Bonne rencontre. Ils sont fiancés. Un énorme potentiel pour améliorer leur prévisibilité de livraison et leur faire gagner du temps dans ce qui nécessite actuellement de nombreux appels téléphoniques et e-mails entre le répartiteur et le chauffeur. À retenir :
 - Le gestionnaire de flotte est la personne pour laquelle nous optimisons.
 - Ce sont eux qui ont le plus à gagner d'une solution de messagerie vocale qui leur permet d'avoir des conversations actives en tête-à-tête avec plus de 50 chauffeurs en une seule journée pour coordonner les délais de réception et réacheminer si nécessaire.
 - Il existe certaines barrières linguistiques que nous pouvons résoudre partiellement avec des transcriptions traduites (aujourd'hui) et entièrement avec des traductions audio-audio à l'avenir.
 - Ce flux de travail a un potentiel de résultat direct et indirect : économies de coûts par rapport au service de traduction qu'ils utilisent aujourd'hui, plus grande prévisibilité pour les clients. = amélioration de la réputation et des réservations, possibilité de livrer plus rapidement et de limiter les temps d'arrêt des chauffeurs, car ils peuvent plus facilement prédire les délais de livraison et résoudre les implications en matière de mise sous séquestre et de transport.",1344,17.56
5081343592435033146,Eleven Labs,Arayah,formatted,TL,"Nakipagpulong kami sa 4 na stakeholder mula sa Grand Island Express kahapon. Magandang pagpupulong. engaged na sila. Malaking potensyal na mapabuti ang kanilang predicability ng paghahatid at makatipid sa kanila ng oras sa kasalukuyang nangangailangan ng maraming tawag sa telepono at email sa pagitan ng dispatcher at driver. Takeaways:
 - Ang Fleet Manager ay ang taong ino-optimize namin.
 - Pinakamahusay silang makamit mula sa isang voice messaging solution kung saan maaari silang magkaroon ng aktibong 1-1 na pag-uusap sa 50+ na driver sa isang araw upang i-coordinate ang mga timeline ng resibo at muling ruta kung kinakailangan.
 - Mayroong ilang mga hadlang sa wika na bahagyang malulutas namin gamit ang mga isinaling transcript (ngayon) at ganap na may mga pagsasalin ng audio2audio sa hinaharap
 - Ang daloy ng trabaho na ito ay may direkta at hindi direktang potensyal na pang-ibabaw: makatipid sa gastos kumpara sa serbisyo ng pagsasalin na ginagamit nila ngayon, mas mahuhulaan para sa mga customer = pinahusay na reputasyon at mga booking, potensyal na makapaghatid ng mas mabilis at limitahan ang downtime ng driver dahil mas madali nilang mahulaan ang mga timeline ng paghahatid at malutas ang mga implikasyon ng receivership at backhaul",1256,20.35
3604690430150103113,Eleven Labs,Arayah,formatted,cmn-CN,"昨天我们会见了 Grand Island Express 的 4 位利益相关者。 很好的会议。 他们订婚了。 提高送货的可预测性并节省时间的巨大潜力，因为目前调度员和司机之间需要大量的电话和电子邮件。 要点：
 - 车队经理是我们正在优化的人。
 - 他们从语音消息解决方案中获益最多，在该解决方案中，他们可以在一天内与 50 多名司机进行积极的 1-1 对话，以协调收货时间表并根据需要重新安排路线。
 - 有一些语言障碍，我们可以通过翻译文本（今天）部分解决，并在未来通过音频到音频翻译完全解决
 - 此工作流程具有直接和间接的底线潜力：与他们今天使用的翻译服务相比，可以节省成本，为客户提供更高的可预测性 = 提高声誉和预订量，加快交付速度并限制司机停机时间的潜力，因为他们可以更轻松地预测交付时间并解决接管和回程影响",362,16.26
8629530001482365224,Eleven Labs,Arayah,numbers_and_acronyms,en-US,The receiver is located at 1567 W Oakley St. Take the RH turn at Main St. Whats your ETA? They are expecting you at 2:30pm CT. Go to https://espn.com to learn more.,164,3.9
6457515196715813121,Eleven Labs,Arayah,numbers_and_acronyms,es-ES,El receptor está ubicado en 1567 W Oakley St. Tome el giro a la derecha en Main St. ¿Cuál es su ETA? Te esperan a las 2:30 p. m. CT. Vaya a https://espn.com para obtener más información.,186,4.09
6457515196715813121,Eleven Labs,Arayah,numbers_and_acronyms,es-MX,El receptor está ubicado en 1567 W Oakley St. Tome el giro a la derecha en Main St. ¿Cuál es su ETA? Te esperan a las 2:30 p. m. CT. Vaya a https://espn.com para obtener más información.,186,4.62
6611432308979351548,Eleven Labs,Arayah,numbers_and_acronyms,pt-PT,O receptor está localizado em 1567 W Oakley St. Faça a curva RH na Main St. Qual é o seu HEC? Eles estão esperando você às 14h30 CT. Acesse https://espn.com para saber mais.,173,4.78
6481711289650919040,Eleven Labs,Arayah,numbers_and_acronyms,fr-FR,Le récepteur est situé au 1567 W Oakley St. Prenez le virage à droite sur Main St. Quelle est votre ETA ? Ils vous attendent à 14h30 CT. Accédez à https://espn.com pour en savoir plus.,184,4.16
6481711289650919040,Eleven Labs,Arayah,numbers_and_acronyms,fr-CA,Le récepteur est situé au 1567 W Oakley St. Prenez le virage à droite sur Main St. Quelle est votre ETA ? Ils vous attendent à 14h30 CT. Accédez à https://espn.com pour en savoir plus.,184,4.03
8802397118412021078,Eleven Labs,Arayah,numbers_and_acronyms,TL,Ang receiver ay matatagpuan sa 1567 W Oakley St. Lumiko sa RH sa Main St. Ano ang iyong ETA? Inaasahan ka nila sa 2:30pm CT. Pumunta sa https://espn.com para matuto pa.,168,3.56
1493199011997703908,Eleven Labs,Arayah,numbers_and_acronyms,cmn-CN,接收器位于 1567 W Oakley St。在 Main St 右转。您的预计到达时间是多少？ 他们将于中部时间下午 2:30 等您。 请访问 https://espn.com 了解更多信息。,97,4.49
1586276530765510447,Eleven Labs,Arayah,names,en-US,Wendy Thompson from Acme Supply in Chattanooga is expecting you to call Ryan McGarvey and JP Gooderham this afternoon. Nick DePrey is also awaiting your call.,158,2.68
5909479929412288711,Eleven Labs,Arayah,names,es-ES,Wendy Thompson de Acme Supply en Chattanooga espera que llame a Ryan McGarvey y JP Gooderham esta tarde. Nick DePrey también está esperando tu llamada.,151,3.42
5909479929412288711,Eleven Labs,Arayah,names,es-MX,Wendy Thompson de Acme Supply en Chattanooga espera que llame a Ryan McGarvey y JP Gooderham esta tarde. Nick DePrey también está esperando tu llamada.,151,2.99
5186334565027695231,Eleven Labs,Arayah,names,pt-PT,"Wendy Thompson, da Acme Supply em Chattanooga, espera que você ligue para Ryan McGarvey e JP Gooderham esta tarde. Nick DePrey também está aguardando sua ligação.",162,2.61
3788011389507764232,Eleven Labs,Arayah,names,fr-FR,Wendy Thompson d'Acme Supply à Chattanooga s'attend à ce que vous appeliez Ryan McGarvey et JP Gooderham cet après-midi. Nick DePrey attend également votre appel.,162,2.6
3788011389507764232,Eleven Labs,Arayah,names,fr-CA,Wendy Thompson d'Acme Supply à Chattanooga s'attend à ce que vous appeliez Ryan McGarvey et JP Gooderham cet après-midi. Nick DePrey attend également votre appel.,162,2.67
6937842047011751558,Eleven Labs,Arayah,names,TL,Inaasahan ni Wendy Thompson mula sa Acme Supply sa Chattanooga na tatawagan mo sina Ryan McGarvey at JP Gooderham ngayong hapon. Hinihintay din ni Nick DePrey ang iyong tawag.,175,3.14
2995971805417244133,Eleven Labs,Arayah,names,cmn-CN,查塔努加 Acme Supply 的 Wendy Thompson 希望您今天下午给 Ryan McGarvey 和 JP Gooderham 打电话。,76,2.18
5461594771845904671,Eleven Labs,Adam,simple,en-US,Hello. how are you?,19,1.12
8933041133731999649,Eleven Labs,Adam,simple,en-US,The quick brown fox jumps over the lazy dog.,44,2.69
6893260086683894756,Eleven Labs,Adam,simple,en-US,Peter Piper picked a pack of pickled peppers.,45,1.08
2000839800414449093,Eleven Labs,Adam,simple,es-ES,Hola. ¿Cómo estás?,18,1.96
6498550642262359094,Eleven Labs,Adam,simple,es-ES,El rápido zorro marrón salta sobre el perro perezoso.,53,1.95
4084855189670854603,Eleven Labs,Adam,simple,es-ES,Peter Piper eligió un paquete de pimientos encurtidos.,54,1.23
2000839800414449093,Eleven Labs,Adam,simple,es-MX,Hola. ¿Cómo estás?,18,0.87
6498550642262359094,Eleven Labs,Adam,simple,es-MX,El rápido zorro marrón salta sobre el perro perezoso.,53,1.89
8321282412484796075,Eleven Labs,Adam,simple,es-MX,Peter Piper recogió un paquete de pimientos encurtidos.,55,1.46
8626939221038580742,Eleven Labs,Adam,simple,pt-PT,Olá. Como você está?,20,1.34
1855514860826148628,Eleven Labs,Adam,simple,pt-PT,A rápida raposa marrom pula sobre o cachorro preguiçoso.,56,1.27
3074772671454776879,Eleven Labs,Adam,simple,pt-PT,Peter Piper pegou um pacote de pimentos em conserva.,52,1.36
8738971213721346603,Eleven Labs,Adam,simple,fr-FR,Bonjour. Comment allez-vous ?,29,1.12
538671701378110504,Eleven Labs,Adam,simple,fr-FR,Le rapide renard brun saute par-dessus le chien paresseux.,58,1.45
5031999232851361323,Eleven Labs,Adam,simple,fr-FR,Peter Piper a cueilli un paquet de poivrons marinés.,52,1.15
8738971213721346603,Eleven Labs,Adam,simple,fr-CA,Bonjour. Comment allez-vous ?,29,0.91
4111388041391474834,Eleven Labs,Adam,simple,fr-CA,Le renard brun saute par-dessus le chien paresseux.,51,1.3
5031999232851361323,Eleven Labs,Adam,simple,fr-CA,Peter Piper a cueilli un paquet de poivrons marinés.,52,1.49
6210168255569534953,Eleven Labs,Adam,simple,TL,Kumusta. Kumusta ka?,20,0.96
1502322473110967149,Eleven Labs,Adam,simple,TL,Tumalon ang mabilis na kayumanggi na lobos sa tamad na aso.,59,1.61
2344302379050095573,Eleven Labs,Adam,simple,TL,Pumili ni Peter Piper ng isang pakete ng mga inakado na paminta.,64,1.44
3936429306205206816,Eleven Labs,Adam,simple,cmn-CN,你好你好嗎,5,0.8
2724155416816679147,Eleven Labs,Adam,simple,cmn-CN,快速的棕色狐狸跳過懶狗。,12,1.11
1210892946472339781,Eleven Labs,Adam,simple,cmn-CN,彼得·派珀摘了一包醃辣椒。,13,1.18
6325103082724599042,Eleven Labs,Adam,punctuation,en-US,What is your estimated time of arival?,38,2.26
873190313040767365,Eleven Labs,Adam,punctuation,en-US,What is your estimated time of arival?!,39,1.75
6053360614954271887,Eleven Labs,Adam,punctuation,en-US,What is your estimated time of arival!,38,1.01
9153356301312053852,Eleven Labs,Adam,punctuation,en-US,WHAT IS YOUR ESTIMATED TIME OF ARIVIAL,38,1.02
6292904777605363046,Eleven Labs,Adam,punctuation,es-ES,¿Cuál es su hora estimada de llegada?,37,1.06
6677744109796699704,Eleven Labs,Adam,punctuation,es-ES,¡Cuál es su hora estimada de llegada?,37,1.37
7675128218449985032,Eleven Labs,Adam,punctuation,es-ES,¡Cuál es su hora estimada de llegada!,37,1.04
681579251373183360,Eleven Labs,Adam,punctuation,es-ES,CUÁL ES SU HORA ESTIMADA DE LLEGADA,35,1.12
6292904777605363046,Eleven Labs,Adam,punctuation,es-MX,¿Cuál es su hora estimada de llegada?,37,0.98
6677744109796699704,Eleven Labs,Adam,punctuation,es-MX,¡Cuál es su hora estimada de llegada?,37,2.43
7675128218449985032,Eleven Labs,Adam,punctuation,es-MX,¡Cuál es su hora estimada de llegada!,37,3.03
681579251373183360,Eleven Labs,Adam,punctuation,es-MX,CUÁL ES SU HORA ESTIMADA DE LLEGADA,35,1.12
5455914618255954988,Eleven Labs,Adam,punctuation,pt-PT,Qual é a sua hora estimada de chegada?,38,1.07
5056941616501725837,Eleven Labs,Adam,punctuation,pt-PT,Qual é a sua hora estimada de chegada?!,39,1.03
1628649464494924456,Eleven Labs,Adam,punctuation,pt-PT,Qual é a sua hora estimada de chegada!,38,1.09
8039169471925453918,Eleven Labs,Adam,punctuation,pt-PT,QUAL É A SUA HORA ESTIMADA DE CHEGADA,37,1.11
1517412220037710644,Eleven Labs,Adam,punctuation,fr-FR,Quelle est votre heure d'arrivée estimée ?,42,1.39
3867936412737292805,Eleven Labs,Adam,punctuation,fr-FR,Quelle est votre heure d'arrivée estimée !,42,1.75
1629975329846652244,Eleven Labs,Adam,punctuation,fr-FR,Quelle est votre heure d'arrivée estimée ?!,43,1.03
4314807983758406155,Eleven Labs,Adam,punctuation,fr-FR,QUELLE EST VOTRE HEURE D'ARRIVÉE ESTIMÉE,40,1.45
4726496838732818880,Eleven Labs,Adam,punctuation,fr-CA,Quelle est votre heure d'arrivée prévue ?,41,1.81
5083531257868423882,Eleven Labs,Adam,punctuation,fr-CA,Quelle est votre heure d'arrivée prévue ?!,42,3.53
2840600451163546029,Eleven Labs,Adam,punctuation,fr-CA,Quelle est votre heure d'arrivée prévue !,41,3.07
7825683144979542375,Eleven Labs,Adam,punctuation,fr-CA,QUELLE EST VOTRE HEURE D'ARRIVÉE PRÉVUE,39,1.5
8832474425738082518,Eleven Labs,Adam,punctuation,TL,Ano ang iyong tinatayang oras ng pagdating?,43,1.2
8895678623786982697,Eleven Labs,Adam,punctuation,TL,Ano ang iyong tinatayang oras ng pagdating?!,44,1.05
7595377699872153845,Eleven Labs,Adam,punctuation,TL,Ano ang iyong tinatayang oras ng pagdating!,43,1.29
1157997841692428956,Eleven Labs,Adam,punctuation,TL,ANO ANG IYONG TINATAYANG ORAS NG PAGDATING,42,1.18
4879240828323835654,Eleven Labs,Adam,punctuation,cmn-CN,您的預計抵達時間是多少？,12,1.14
4642062542026513393,Eleven Labs,Adam,punctuation,cmn-CN,您的預計抵達時間是多少 ?!,14,1.51
7118242181755155966,Eleven Labs,Adam,punctuation,cmn-CN,您的預計抵達時間是多少 !,13,1.06
6512736200779089292,Eleven Labs,Adam,punctuation,cmn-CN,您的預計抵達時間是多少,11,1.56
4262028833376718189,Eleven Labs,Adam,emojis,en-US,"🚨 Urgent, please read. 🚨",24,0.84
4994779803943413823,Eleven Labs,Adam,emojis,en-US,🚨👀🚚🥇📦👇,6,0.77
396118489578515054,Eleven Labs,Adam,emojis,es-ES,"🚨 Urgente, por favor lee. 🚨",27,0.87
4994779803943413823,Eleven Labs,Adam,emojis,es-ES,🚨👀🚚🥇📦👇,6,1.18
2718758904988367035,Eleven Labs,Adam,emojis,es-MX,"🚨 Urgente, por favor lea. 🚨",27,1.25
4994779803943413823,Eleven Labs,Adam,emojis,es-MX,🚨👀🚚🥇📦👇,6,1.07
9203722033135303081,Eleven Labs,Adam,emojis,pt-PT,"🚨 Urgente, por favor, leia. 🚨",29,0.94
4994779803943413823,Eleven Labs,Adam,emojis,pt-PT,🚨👀🚚🥇📦👇,6,1.1
1747767912087009519,Eleven Labs,Adam,emojis,fr-FR,"🚨 C'est urgent, veuillez lire. 🚨",32,1.38
4994779803943413823,Eleven Labs,Adam,emojis,fr-FR,🚨👀🚚🥇📦👇,6,1.19
2720595845660555447,Eleven Labs,Adam,emojis,fr-CA,"🚨 Urgent, veuillez lire. 🚨",26,1.41
4994779803943413823,Eleven Labs,Adam,emojis,fr-CA,🚨👀🚚🥇📦👇,6,1.98
3477565172891740915,Eleven Labs,Adam,emojis,TL,"🚨 Kagad, mangyaring basahin. 🚨",30,1.44
4994779803943413823,Eleven Labs,Adam,emojis,TL,🚨👀🚚🥇📦👇,6,1.08
3440854032934679662,Eleven Labs,Adam,emojis,cmn-CN,🚨 緊急，請閱讀。 🚨,11,1.54
